qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p,fmt
51,15,0.01645273844401039,0.0006219649668047959,0.0003444327181165018,0.0153207397460937,0.016607666015625,0.01723464965820309,1.0,169.46933333333334,8.152219212903818,51.89999999999999,10.502526666666666,10.502526666666666,,,0.11668666666666669,0.07337454152516282,gray (i400)
0,30,1.4891924031575523,0.00038992218849696246,0.00014559933804291438,1.488651580810547,1.4891565958658854,1.489926503499349,0.0,29233.074,7.666182163601097,0.0,57.33501666666666,56.59960333333335,59.33308666666666,59.33705333333334,0.38003,0.41533618995812793,yuv420p
4,30,1.2633185153537325,0.0003484808914381654,0.00013012490340594414,1.2628491719563801,1.2632914225260419,1.2639960225423177,0.0,24791.69266666666,6.851413110388026,4.900000000000001,53.098890000000004,52.924793333333334,53.46875,53.470389999999995,0.3822133333333334,0.38024212761176274,yuv420p
8,30,1.0993428887261283,0.001022796414454856,0.00038191845781162414,1.0976736958821616,1.0994756062825521,1.1010696919759115,0.0,21567.800666666666,20.108995745314143,8.9,50.0964,49.97312999999999,50.35380000000001,50.35427000000001,0.40893999999999997,0.5500613163348089,yuv420p
10,30,1.0310389539930556,0.0014599061557920912,0.0005451379176636935,1.0288417561848957,1.0307276407877604,1.0330718994140624,0.0,20224.870666666662,28.702922947796313,10.899999999999997,48.43173333333333,48.336593333333326,48.62843333333333,48.62866666666666,0.40988333333333327,0.03296499819937545,yuv420p
12,30,0.9645682101779515,0.001561383389478722,0.0005830301394635172,0.9624389139811198,0.9648422241210939,0.9666588338216145,1.0,18918.00266666667,30.698046543863462,12.899999999999997,46.54480000000001,46.51063666666667,46.60870666666667,46.61931333333333,0.4338066666666666,0.4229586260562227,yuv420p
14,30,0.9104544745551215,0.001228673211115549,0.00045879411710082654,0.9088589477539063,0.9101526896158854,0.9124639383951823,1.0,17854.083333333336,24.156698269100474,14.899999999999997,44.59378,44.703466666666664,44.38099666666666,44.383869999999995,0.4329566666666667,0.5423933116337808,yuv420p
16,30,0.8565463935004339,0.0018142754254057663,0.0006774615776159254,0.8534476725260417,0.8566823323567708,0.8595379638671875,1.0,16794.207333333332,35.67010628381762,16.899999999999995,42.70811666666667,42.896413333333335,42.35675333333334,42.35204333333333,0.4328500000000001,0.7723389248150758,yuv420p
18,30,0.7991670735677082,0.002482356424258068,0.0009269271224388562,0.7952749633789062,0.7995936075846355,0.8019379170735677,1.0,15666.083999999999,48.80511318605297,18.899999999999995,40.80091,40.93458666666666,40.54450333333333,40.546150000000004,0.4456533333333334,0.09769984522137404,yuv420p
20,30,0.7436145358615451,0.002137260403095732,0.0007980661503660365,0.7411925252278646,0.7429885864257812,0.7474526468912761,1.0,14573.876666666669,42.02024933318449,20.899999999999995,38.90797,39.018903333333334,38.69617999999999,38.69248,0.4725333333333333,0.004498725180331305,yuv420p
24,30,0.6424680582682292,0.001306946742667213,0.00048802193412794654,0.64068115234375,0.6425155639648438,0.6443466186523438,1.0,12585.256000000001,25.695618518231434,24.89999999999999,34.98385333333333,35.09320666666667,34.774293333333326,34.77185333333333,0.47217999999999993,0.9968208204828156,yuv420p
28,30,0.5490629069010416,0.0010799931195020855,0.0004032760584786027,0.5471318054199219,0.549029541015625,0.5504232279459635,1.0,10748.836000000001,21.233528723906637,28.89999999999999,31.27096333333333,31.219146666666663,31.37990333333333,31.373126666666664,0.47084999999999994,0.582719808984293,yuv420p
32,30,0.4559913804796007,0.00116839888046029,0.0004362873121451658,0.45456797281901046,0.4558603922526041,0.45815236409505206,1.0,8918.975333333332,22.971656708953805,32.89999999999999,27.44690666666667,27.24639,27.875126666666667,27.88112,0.47362000000000004,0.0757833530371427,yuv420p
36,30,0.37193352593315965,0.0007176349733793256,0.00026796930301207583,0.3709307861328125,0.3717325846354166,0.37318044026692704,1.0,7266.330666666666,14.109277684616163,36.9,23.953776666666666,23.305186666666668,25.64115333333334,25.643743333333337,0.47524000000000005,0.21359692858616064,yuv420p
40,30,0.27856238471137146,0.0009718055066844691,0.0003628781399312954,0.277061767578125,0.2788319905598958,0.2798700968424479,1.0,5430.579333333333,19.10647370582194,40.900000000000006,20.299710000000005,19.275349999999996,23.594963333333332,23.59992666666666,0.46394,0.6166163086887303,yuv420p
