variant,rc,n,ratio_mean,ratio_ci95,psnr_mean,wall_mean,identical_all,frames_I,frames_P,frames_B,ratio_delta_pct,wall_delta_pct,psnr_delta_db
no-deblock-eff,qp16,5,0.8561665852864584,0.0018152788338634226,42.89326,0.42704000000000003,False,1.0,2.0,7.0,0.054375439705189876,-24.681646618928355,0.1917399999999958
constrained-intra,qp16,5,0.8566066487630207,0.0008406530099673039,42.69656,0.58772,False,1.0,2.0,7.0,0.10580267017405998,3.6579773536985494,-0.004960000000004072
tskip-fast,qp16,5,0.859816691080729,0.0018113796017204134,42.79502,0.59504,False,1.0,2.0,7.0,0.48093851961377165,4.949028184415671,0.0934999999999988
tskip,qp16,5,0.86017578125,0.0018395608457650546,42.8169,0.65318,False,1.0,2.0,7.0,0.5229029494693505,15.203358143144374,0.11537999999999471
ctu32,qp16,5,0.8603476969401042,0.004524883100055644,42.70832,0.43782,False,1.0,2.0,7.0,0.5429935688619603,-22.780344985713786,0.006799999999998363
rd1,qp16,5,0.8620808919270834,0.0008170530856490289,42.444,0.34426,False,1.0,2.0,7.0,0.7455402985727444,-39.281808882147516,-0.2575199999999995
no-signhide,qp16,5,0.8641754150390625,0.0013565516487802302,42.35044,0.50534,False,1.0,2.0,7.0,0.9903129928294119,-10.871635683798376,-0.35108000000000317
scenecut-default,qp16,5,0.8699424235026042,0.0010819595157146962,43.17211999999999,0.5827,False,2.0,2.0,6.0,1.6642641138978842,2.7725845708843178,0.47059999999999036
ctu16,qp16,5,0.8702742513020834,0.0007795786450426343,42.56778,0.37160000000000004,False,1.0,2.0,7.0,1.7030425757077472,-34.45976930403189,-0.13374000000000308
rd5,qp16,5,0.8741099039713541,0.0002500894204526532,43.857940000000006,1.1275,False,1.0,2.0,7.0,2.1512892590317856,98.86063000458567,1.1564200000000042
amp-rd5,qp16,5,0.8742431640625,0.00028672607159891615,43.861779999999996,0.85544,False,1.0,2.0,7.0,2.1668624610461817,50.876574129598914,1.1602599999999939
rd5-only-check,qp16,5,0.8742431640625,0.00028672607159891615,43.861779999999996,0.83544,False,1.0,2.0,7.0,2.1668624610461817,47.34911284348653,1.1602599999999939
amp-rect-rd5,qp16,5,0.8742873128255209,0.0004899060803321897,43.85996,1.3058,False,1.0,2.0,7.0,2.1720218272097247,130.3079473702776,1.1584399999999988
psy-rd0,qp32,5,0.4382108561197916,0.0002840334570483563,27.25032,0.61058,False,1.0,2.0,7.0,-3.7689232490354163,-1.4971122511534651,-0.1824799999999982
no-b-pyramid,qp32,5,0.4499654134114583,0.000558576102927273,27.21664,0.63384,False,1.0,2.0,7.0,-1.1876231988176444,2.255347981802358,-0.21615999999999502
rd1,qp32,5,0.4533221435546874,0.0006054105418827592,27.11416,0.3569,False,1.0,2.0,7.0,-0.45048546812423984,-42.422482496047486,-0.3186399999999985
no-sao,qp32,5,0.45401387532552084,0.002402128351215342,27.190820000000002,0.5968600000000001,False,1.0,2.0,7.0,-0.2985812142689781,-3.7105152776433115,-0.24197999999999453
ctu32,qp32,5,0.45422444661458333,0.0014830483052189545,27.3284,0.47026,False,1.0,2.0,7.0,-0.25233977228658055,-24.13448197980187,-0.10439999999999827
ref1,qp32,5,0.45459431966145825,0.00109275425493179,27.425159999999998,0.60756,False,1.0,2.0,7.0,-0.17111567419576534,-1.9843190397831556,-0.007639999999998537
cu-lossless,qp32,5,0.45489685058593743,0.0010432590546059124,27.425580000000004,0.70716,False,1.0,2.0,7.0,-0.10467990199495292,14.08382537992452,-0.007219999999993121
no-weightp,qp32,5,0.45491495768229173,0.001598102877219562,27.426320000000004,0.63764,False,1.0,2.0,7.0,-0.1007035847616522,2.8683896363695283,-0.006479999999992714
rect1,qp32,5,0.4552423095703125,0.0025223477630048332,27.42912,0.6282,False,1.0,2.0,7.0,-0.02881713051077206,1.3454651050237354,-0.0036799999999956867
rdoq2,qp32,5,0.45533508300781256,0.00015815480262097213,29.8847,1.18392,False,1.0,2.0,7.0,-0.008444089405457156,90.99796728293492,2.451900000000002
amp,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.6250600000000001,False,1.0,2.0,7.0,0.0,0.8388991062498352,0.0
aq0,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.62528,False,1.0,2.0,7.0,0.0,0.8743909915142289,0.0
aq1,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.62764,False,1.0,2.0,7.0,0.0,1.2551221243506827,0.0
