config,qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p
256x256 f10 IP,20,30,0.7669136216905382,0.0024378809075708044,0.0009103196915723445,0.7643050130208333,0.7658732096354166,0.7704498799641927,1.0,15032.155333333336,47.930688947567816,19.700000000000003,40.10537666666668,40.23333666666666,39.86091333333333,39.859666666666676,0.40574,0.00034031975579514804
256x256 f10 IP,24,30,0.6672363959418404,0.0018800840035884559,0.000702034904560667,0.6652565511067708,0.6669250488281251,0.6715670267740885,1.0,13072.421333333332,36.96395557775208,23.700000000000006,36.38315000000001,36.43223333333333,36.285979999999995,36.28731333333333,0.40886666666666666,7.261042542202915e-05
256x256 f10 IP,28,30,0.5667442491319444,0.0013997602049120909,0.0005226790505039502,0.5645102437337239,0.566820780436198,0.5687301635742187,1.0,11096.665333333334,27.52040543673546,27.700000000000006,32.359496666666665,32.437196666666665,32.21060666666667,32.20575,0.40758333333333324,0.949328514016132
256x256 f10 IP,32,30,0.4751577419704861,0.0017144489029465803,0.0006401857415184451,0.47247843424479163,0.4751561482747395,0.4778474426269531,1.0,9296.001333333335,33.707436991052,31.700000000000006,28.642583333333334,28.410973333333335,29.147246666666668,29.145876666666666,0.4075966666666666,0.8836807942985285
256x256 f10 IP,36,30,0.3861488172743055,0.0015337529828572114,0.0005727127760699236,0.3843673197428385,0.3857961018880208,0.38883092244466144,1.0,7546.014666666667,30.15481064535916,35.70000000000001,25.009223333333335,24.539910000000003,26.13253,26.13637333333333,0.4151766666666667,0.1822338587335327
256x256 f10 IP,40,30,0.2997480943467882,0.0010305751902793079,0.0003848231004409401,0.29862686157226564,0.2996932983398437,0.30146474202473955,1.0,5847.307333333333,20.261932701043403,39.70000000000001,21.413006666666664,20.498710000000003,24.15852333333334,24.159996666666665,0.41108666666666666,0.27057936816886086
256x256 f10 IP,44,30,0.2130242919921875,0.00029835477042996,0.00011140750220960113,0.21261510213216142,0.21296691894531244,0.21344273885091142,1.0,4142.2480000000005,5.865893470469462,43.70000000000002,17.74096666666667,16.54990666666667,22.070633333333337,22.07312,0.3840566666666667,0.6214447762243477
256x256 f10 IP,48,30,0.12246405707465273,0.0001327566547151759,4.957214956612281e-05,0.12223103841145828,0.1224609375,0.12263326009114582,1.0,2361.761333333334,2.6101020370242587,47.70000000000002,14.15016333333333,12.976659999999999,18.35909,18.35651,0.3179866666666667,0.8081222250781448
256x256 f10 IP,51,30,0.020804273817274264,0.0002117418975207883,7.906572394306705e-05,0.02046178181966144,0.020790608723958298,0.021097971598307223,1.0,363.04866666666663,4.1630150987768095,50.70000000000002,10.597486666666668,10.540196666666667,10.714226666666667,10.714573333333336,0.11144000000000001,0.5030143814742662
256x256 f10 IPB,0,30,1.4891924031575523,0.00038992218849696246,0.00014559933804291438,1.488651580810547,1.4891565958658854,1.489926503499349,0.0,29233.074,7.666182163601097,0.0,57.33501666666666,56.59960333333335,59.33308666666666,59.33705333333334,0.38003,0.41533618995812793
256x256 f10 IPB,4,30,1.2633185153537325,0.0003484808914381654,0.00013012490340594414,1.2628491719563801,1.2632914225260419,1.2639960225423177,0.0,24791.69266666666,6.851413110388026,4.900000000000001,53.098890000000004,52.924793333333334,53.46875,53.470389999999995,0.3822133333333334,0.38024212761176274
256x256 f10 IPB,8,30,1.0993428887261283,0.001022796414454856,0.00038191845781162414,1.0976736958821616,1.0994756062825521,1.1010696919759115,0.0,21567.800666666666,20.108995745314143,8.9,50.0964,49.97312999999999,50.35380000000001,50.35427000000001,0.40893999999999997,0.5500613163348089
256x256 f10 IPB,10,30,1.0310389539930556,0.0014599061557920912,0.0005451379176636935,1.0288417561848957,1.0307276407877604,1.0330718994140624,0.0,20224.870666666662,28.702922947796313,10.899999999999997,48.43173333333333,48.336593333333326,48.62843333333333,48.62866666666666,0.40988333333333327,0.03296499819937545
256x256 f10 IPB,12,30,0.9645682101779515,0.001561383389478722,0.0005830301394635172,0.9624389139811198,0.9648422241210939,0.9666588338216145,1.0,18918.00266666667,30.698046543863462,12.899999999999997,46.54480000000001,46.51063666666667,46.60870666666667,46.61931333333333,0.4338066666666666,0.4229586260562227
256x256 f10 IPB,14,30,0.9104544745551215,0.001228673211115549,0.00045879411710082654,0.9088589477539063,0.9101526896158854,0.9124639383951823,1.0,17854.083333333336,24.156698269100474,14.899999999999997,44.59378,44.703466666666664,44.38099666666666,44.383869999999995,0.4329566666666667,0.5423933116337808
256x256 f10 IPB,16,30,0.8565463935004339,0.0018142754254057663,0.0006774615776159254,0.8534476725260417,0.8566823323567708,0.8595379638671875,1.0,16794.207333333332,35.67010628381762,16.899999999999995,42.70811666666667,42.896413333333335,42.35675333333334,42.35204333333333,0.4328500000000001,0.7723389248150758
256x256 f10 IPB,18,30,0.7991670735677082,0.002482356424258068,0.0009269271224388562,0.7952749633789062,0.7995936075846355,0.8019379170735677,1.0,15666.083999999999,48.80511318605297,18.899999999999995,40.80091,40.93458666666666,40.54450333333333,40.546150000000004,0.4456533333333334,0.09769984522137404
256x256 f10 IPB,20,30,0.7436145358615451,0.002137260403095732,0.0007980661503660365,0.7411925252278646,0.7429885864257812,0.7474526468912761,1.0,14573.876666666669,42.02024933318449,20.899999999999995,38.90797,39.018903333333334,38.69617999999999,38.69248,0.4725333333333333,0.004498725180331305
256x256 f10 IPB,24,30,0.6424680582682292,0.001306946742667213,0.00048802193412794654,0.64068115234375,0.6425155639648438,0.6443466186523438,1.0,12585.256000000001,25.695618518231434,24.89999999999999,34.98385333333333,35.09320666666667,34.774293333333326,34.77185333333333,0.47217999999999993,0.9968208204828156
256x256 f10 IPB,28,30,0.5490629069010416,0.0010799931195020855,0.0004032760584786027,0.5471318054199219,0.549029541015625,0.5504232279459635,1.0,10748.836000000001,21.233528723906637,28.89999999999999,31.27096333333333,31.219146666666663,31.37990333333333,31.373126666666664,0.47084999999999994,0.582719808984293
256x256 f10 IPB,32,30,0.4559913804796007,0.00116839888046029,0.0004362873121451658,0.45456797281901046,0.4558603922526041,0.45815236409505206,1.0,8918.975333333332,22.971656708953805,32.89999999999999,27.44690666666667,27.24639,27.875126666666667,27.88112,0.47362000000000004,0.0757833530371427
256x256 f10 IPB,36,30,0.37193352593315965,0.0007176349733793256,0.00026796930301207583,0.3709307861328125,0.3717325846354166,0.37318044026692704,1.0,7266.330666666666,14.109277684616163,36.9,23.953776666666666,23.305186666666668,25.64115333333334,25.643743333333337,0.47524000000000005,0.21359692858616064
256x256 f10 IPB,40,30,0.27856238471137146,0.0009718055066844691,0.0003628781399312954,0.277061767578125,0.2788319905598958,0.2798700968424479,1.0,5430.579333333333,19.10647370582194,40.900000000000006,20.299710000000005,19.275349999999996,23.594963333333332,23.59992666666666,0.46394,0.6166163086887303
256x256 f10 IPB,44,30,0.18550374348958332,0.00022975882817812384,8.57933564160613e-05,0.1851815287272135,0.1854690551757812,0.18586537679036455,1.0,3600.972,4.517242369044366,44.90000000000001,16.470523333333336,15.278306666666667,20.808850000000003,20.81032,0.42832333333333333,0.6378081593939366
256x256 f10 IPB,48,30,0.06735951741536456,0.0023642930779490022,0.0008828415444008541,0.06352040608723955,0.06715494791666665,0.07062901814778644,1.0,1278.162,46.483893346939595,48.90000000000001,11.951080000000001,11.945349999999998,11.956319999999998,11.974743333333333,0.23739333333333335,0.6895319927397645
256x256 f10 IPB,51,30,0.020213487413194405,0.0007700957075293191,0.00028755846308251866,0.018669687906900975,0.02041371663411455,0.02106201171874997,1.0,351.23333333333335,15.14069768659231,51.90000000000001,10.498063333333333,10.497706666666664,10.497593333333333,10.500423333333336,0.11482666666666667,0.0007526691236951572
256x256 f10 all-I,0,30,1.5056144883897566,0.00041999930160508536,0.00015683031665345495,1.5048529052734374,1.5056035359700521,1.5062284342447918,0.0,29151.385333333328,8.257522268997322,0.0,66.62517666666666,66.35951000000001,67.19920333333333,67.22441333333333,0.69002,0.584948498474437
256x256 f10 all-I,4,30,1.455760701497396,0.0003861810304529905,0.0001442023666707133,1.4551074218750002,1.4557454427083334,1.4563124593098957,0.0,28168.62,7.592628003531111,1.0,64.44880333333333,64.30965666666667,64.75214333333335,64.73136,0.69377,0.5256372095341886
256x256 f10 all-I,8,30,1.2696739705403646,0.00029978051506458845,0.00011193988400562135,1.2692229715983072,1.2696314493815104,1.2701985677083334,0.0,24510.005999999998,5.893924750581573,5.0,57.50947000000001,57.97230999999999,56.70459666666668,56.71504,0.6890666666666667,0.7817407069484272
256x256 f10 all-I,10,30,1.187346700032552,0.00026905502831418794,0.0001004667986981421,1.1869847615559896,1.1873382568359376,1.1877942911783854,0.0,22891.186,5.289837100679031,7.0,55.14990666666666,55.60657666666666,54.35644333333334,54.36255666666667,0.68538,0.6694917001480524
256x256 f10 all-I,12,30,1.1096057807074653,0.0002030041471255279,7.58029943240163e-05,1.1092914326985677,1.1096211751302083,1.109889170328776,0.0,21362.73733333333,3.9912239358053796,9.0,53.22833333333333,53.624379999999995,52.53136666666666,52.52966666666666,0.6894333333333335,0.6282867783873219
256x256 f10 all-I,14,30,1.0426073879665796,0.00020083438933327463,7.499279344911022e-05,1.0423148091634116,1.0425740559895833,1.0428962707519531,0.0,20045.495333333332,3.948564761804217,11.0,51.547286666666665,51.89444999999999,50.92504666666667,50.928070000000005,0.6834533333333332,0.8262630590152475
256x256 f10 all-I,16,30,0.9861545477973092,0.00048489617532682143,0.00018106320755756667,0.9852911376953125,0.9862080891927083,0.9867132059733074,1.0,18935.58733333333,9.533446723864948,13.0,49.75732333333334,50.098103333333334,49.14459000000001,49.149456666666666,0.6759466666666667,0.007742541166458213
256x256 f10 all-I,18,30,0.9294171142578126,0.0020009346579624417,0.0007471612805351454,0.926358388264974,0.9297922770182292,0.9324087524414063,1.0,17820.083999999995,39.33997612326816,15.0,47.56397,47.77807666666666,47.16663333333334,47.16597333333333,0.68115,0.6802487947587113
256x256 f10 all-I,20,30,0.8670723470052082,0.003367156588876929,0.0012573169337121157,0.8618895467122396,0.866564432779948,0.8729050191243489,1.0,16594.336,66.20099226259197,17.0,44.78748,45.179849999999995,44.098029999999994,44.09755666666667,0.6738666666666667,0.5469114006871924
256x256 f10 all-I,24,30,0.7552689276801218,0.0013364519815984726,0.0004990393714113929,0.7542150370279948,0.7545613606770833,0.7572069295247396,1.0,14396.191333333334,26.275715119811178,21.0,40.928459999999994,41.08547,40.63174666666666,40.62967,0.67138,9.605939063526864e-06
256x256 f10 all-I,28,30,0.6536247762044272,0.00019180189274173158,7.162000379158142e-05,0.6532941691080729,0.6536341349283854,0.6538992309570313,1.0,12397.786,3.7709786528168463,25.0,36.99717666666666,37.196576666666665,36.62446666666666,36.623376666666665,0.6763600000000001,0.14290500431009084
256x256 f10 all-I,32,30,0.55590579562717,0.0002507577273215209,9.363447422137016e-05,0.5554889424641927,0.5559494018554687,0.5562360636393229,1.0,10476.552666666665,4.930097525322864,29.0,32.96889,33.150839999999995,32.63021,32.62255,0.6711366666666664,0.171242498612319
256x256 f10 all-I,36,30,0.47000206841362846,0.00023235047164734448,8.676109199175733e-05,0.4696648661295572,0.4700078328450521,0.4702961222330729,1.0,8787.616666666667,4.568196152963904,33.0,29.351866666666663,29.152336666666667,29.782343333333337,29.779213333333335,0.6742533333333333,0.1281690712640038
256x256 f10 all-I,40,30,0.3953011745876735,0.00020943527224919465,7.820441591145266e-05,0.39498748779296877,0.39532470703125,0.3956327311197916,1.0,7318.937333333332,4.11766500063698,37.0,25.86694666666667,25.15707666666667,27.77008,27.774510000000003,0.6701466666666666,0.12810988566207415
256x256 f10 all-I,44,30,0.31798122829861114,0.00016303180854083913,6.087707779592094e-05,0.3177408854166667,0.31795857747395834,0.31824986775716146,1.0,5798.765333333334,3.205335781359619,41.0,22.169069999999998,21.080063333333328,25.833606666666658,25.83505666666667,0.6464733333333333,0.6825205097520526
256x256 f10 all-I,48,30,0.23447377522786453,0.0001283469698460198,4.7925546174810605e-05,0.2342554219563802,0.2344797770182291,0.23470377604166662,1.0,4156.942,2.5234041047486055,45.0,18.374893333333336,17.165336666666672,22.83855,22.84136,0.6020566666666666,0.08366125268240676
256x256 f10 all-I,51,30,0.17105885823567704,0.00012680324529373624,4.7349109953523754e-05,0.17083786010742186,0.17106424967447914,0.17123570760091142,1.0,2910.154000000001,2.4930532450708993,48.0,15.495059999999997,14.284600000000003,19.96430666666667,19.96936666666667,0.5428633333333334,0.5469958327786325
256x256 f30 IPB,0,10,1.487731153700087,0.00024371912956634955,0.00017434616245244736,1.4873985629611544,1.487729220920139,1.4880713229709202,0.0,29234.240999999998,4.791778723327598,0.0,57.073570000000004,56.34128,59.066419999999994,59.0573,1.0093400000000001,0.9657573728781752
